"person","text","word.num","dc","sf","wes","pol","rejk","lk","azx","mmm"
"Gregory","it",303,0,0,0,0,0,0,0,0
"Gregory","as",304,0,0,0,0,0,0,0,0
"Gregory","they",305,0,0,0,0,0,0,0,0
"Gregory","list.",306,0,0,0,0,0,0,0,0
"Sampson","Nay,",307,0,0,0,0,0,0,0,0
"Sampson","as",308,0,0,0,0,0,0,0,0
"Sampson","they",309,0,0,0,0,0,0,0,0
"Sampson","dare.",310,0,0,0,0,0,0,0,0
"Sampson","I",311,0,0,0,0,0,0,0,0
"Sampson","will",312,0,0,0,0,0,0,0,0
"Sampson","bite",313,0,0,0,0,0,0,0,0
"Sampson","my",314,0,0,0,0,0,0,0,0
"Sampson","thumb",315,0,0,0,0,0,0,0,0
"Sampson","at",316,0,0,0,0,0,0,0,0
"Sampson","them;",317,0,0,0,0,0,0,0,0
"Sampson","which",318,0,0,0,0,0,0,0,0
"Sampson","is",319,0,0,0,0,0,0,0,0
"Sampson","a",320,0,0,0,0,0,0,0,0
"Sampson","disgrace",321,0,0,0,0,0,0,0,0
"Sampson","to",322,0,0,0,0,0,0,0,0
"Sampson","them,",323,0,0,0,0,0,0,0,0
"Sampson","if",324,0,0,0,0,0,0,0,0
"Sampson","they",325,0,0,0,0,0,0,0,0
"Sampson","bear",326,0,0,0,0,0,0,0,0
"Sampson","it.",327,0,0,0,0,0,0,0,0
"Abraham","Do",328,0,0,0,0,0,0,0,0
"Abraham","you",329,0,0,0,0,0,0,0,0
"Abraham","bite",330,0,0,0,0,0,0,0,0
"Abraham","your",331,0,0,0,0,0,0,0,0
"Abraham","thumb",332,0,0,0,0,0,0,0,0
"Abraham","at",333,0,0,0,0,0,0,0,0
"Abraham","us,",334,0,0,0,0,0,0,0,0
"Abraham","sir?",335,0,0,0,0,0,0,0,0
"Sampson","I",336,0,0,0,0,0,0,0,0
"Sampson","do",337,0,0,0,0,0,0,0,0
"Sampson","bite",338,0,0,0,0,0,0,0,0
"Sampson","my",339,0,0,0,0,0,0,0,0
"Sampson","thumb,",340,0,0,0,0,0,0,0,0
"Sampson","sir.",341,0,0,0,0,0,0,0,0
"Abraham","Do",342,0,0,0,0,0,0,0,0
"Abraham","you",343,0,0,0,0,0,0,0,0
"Abraham","bite",344,0,0,0,0,0,0,0,0
"Abraham","your",345,0,0,0,0,0,0,0,0
"Abraham","thumb",346,0,0,0,0,0,0,0,0
"Abraham","at",347,0,0,0,0,0,0,0,0
"Abraham","us,",348,0,0,0,0,0,0,0,0
"Abraham","sir?",349,0,0,0,0,0,0,0,0
"Sampson","[Aside",350,0,0,0,0,0,0,0,0
"Sampson","to",351,0,0,0,0,0,0,0,0
"Sampson","GREGORY]",352,0,0,0,0,0,0,0,0
"Sampson","Is",353,0,0,0,0,0,0,0,0
"Sampson","the",354,0,0,0,0,0,0,0,0
"Sampson","law",355,0,0,0,0,0,0,0,0
"Sampson","of",356,0,0,0,0,0,0,0,0
"Sampson","our",357,0,0,0,0,0,0,0,0
"Sampson","side,",358,0,0,0,0,0,0,0,0
"Sampson","if",359,0,0,0,0,0,0,0,0
"Sampson","I",360,0,0,0,0,0,0,0,0
"Sampson","say",361,0,0,0,0,0,0,0,0
"Sampson","ay?",362,0,0,0,0,0,0,0,0
"Gregory","No.",363,0,0,0,0,0,0,0,0
"Sampson","No,",364,0,0,0,0,0,0,0,0
"Sampson","sir,",365,0,0,0,0,0,0,0,0
"Sampson","I",366,0,0,0,0,0,0,0,0
"Sampson","do",367,0,0,0,0,0,0,0,0
"Sampson","not",368,0,0,0,0,0,0,0,0
"Sampson","bite",369,0,0,0,0,0,0,0,0
"Sampson","my",370,0,0,0,0,0,0,0,0
"Sampson","thumb",371,0,0,0,0,0,0,0,0
"Sampson","at",372,0,0,0,0,0,0,0,0
"Sampson","you,",373,0,0,0,0,0,0,0,0
"Sampson","sir,",374,0,0,0,0,0,0,0,0
"Sampson","but",375,0,0,0,0,0,0,0,0
"Sampson","I",376,0,0,0,0,0,0,0,0
"Sampson","bite",377,0,0,0,0,0,0,0,0
"Sampson","my",378,0,0,0,0,0,0,0,0
"Sampson","thumb,",379,0,0,0,0,0,0,0,0
"Sampson","sir.",380,0,0,0,0,0,0,0,0
"Gregory","Do",381,0,0,0,0,0,0,0,0
"Gregory","you",382,0,0,0,0,0,0,0,0
"Gregory","quarrel,",383,0,0,0,0,0,0,0,0
"Gregory","sir?",384,0,0,0,0,0,0,0,0
"Abraham","Quarrel",385,0,0,0,0,0,0,0,0
"Abraham","sir!",386,0,0,0,0,0,0,0,0
"Abraham","no,",387,0,0,0,0,0,0,0,0
"Abraham","sir.",388,0,0,0,0,0,0,0,0
"Sampson","If",389,0,0,0,0,0,0,0,0
"Sampson","you",390,0,0,0,0,0,0,0,0
"Sampson","do,",391,0,0,0,0,0,0,0,0
"Sampson","sir,",392,0,0,0,0,0,0,0,0
"Sampson","I",393,0,0,0,0,0,0,0,0
"Sampson","am",394,0,0,0,0,0,0,0,0
"Sampson","for",395,0,0,0,0,0,0,0,0
"Sampson","you.",396,0,0,0,0,0,0,0,0
"Sampson","I",397,0,0,0,0,0,0,0,0
"Sampson","serve",398,0,0,0,0,0,0,0,0
"Sampson","as",399,0,0,0,0,0,0,0,0
"Sampson","good",400,0,0,0,0,0,0,0,0
"Sampson","a",401,0,0,0,0,0,0,0,0
"Sampson","man",402,0,0,0,0,0,0,0,0
"Sampson","as",403,0,0,0,0,0,0,0,0
"Sampson","you.",404,0,0,0,0,0,0,0,0
"Abraham","No",405,0,0,0,0,0,0,0,0
"Abraham","better.",406,0,0,0,0,0,0,0,0
"Sampson","Well,",407,0,0,0,0,0,0,0,0
"Sampson","sir.",408,0,0,0,0,0,0,0,0
"Gregory","Say",409,0,0,0,0,0,0,0,0
"Gregory","better.",410,0,0,0,0,0,0,0,0
"Gregory","here",411,0,0,0,0,0,0,0,0
"Gregory","comes",412,0,0,0,0,0,0,0,0
"Gregory","one",413,0,0,0,0,0,0,0,0
"Gregory","of",414,0,0,0,0,0,0,0,0
"Gregory","my",415,0,0,0,0,0,0,0,0
"Gregory","master's",416,0,0,0,0,0,0,0,0
"Gregory","kinsmen.",417,0,0,0,0,0,0,0,0
"Sampson","Yes,",418,0,0,0,0,0,0,0,0
"Sampson","better,",419,0,0,0,0,0,0,0,0
"Sampson","sir.",420,0,0,0,0,0,0,0,0
"Abraham","You",421,0,0,0,0,0,0,0,0
"Abraham","lie.",422,0,0,0,0,0,0,0,0
"Sampson","Draw,",423,0,0,0,0,0,0,0,0
"Sampson","if",424,0,0,0,0,0,0,0,0
"Sampson","you",425,0,0,0,0,0,0,0,0
"Sampson","be",426,0,0,0,0,0,0,0,0
"Sampson","men.",427,0,0,0,0,0,0,0,0
"Sampson","Gregory,",428,0,0,0,0,0,0,0,0
"Sampson","remember",429,0,0,0,0,0,0,0,0
"Sampson","thy",430,0,0,0,0,0,0,0,0
"Sampson","swashing",431,0,0,0,0,0,0,0,0
"Sampson","blow.",432,0,0,0,0,0,0,0,0
"Benvolio","Part,",433,0,0,0,0,0,0,0,0
"Benvolio","fools!",434,0,0,0,0,0,0,0,0
"Benvolio","Put",435,0,0,0,0,0,0,0,0
"Benvolio","up",436,0,0,0,0,0,0,0,0
"Benvolio","your",437,0,0,0,0,0,0,0,0
"Benvolio","swords;",438,0,0,0,0,0,0,0,0
"Benvolio","you",439,0,0,0,0,0,0,0,0
"Benvolio","know",440,0,0,0,0,0,0,0,0
"Benvolio","not",441,0,0,0,0,0,0,0,0
"Benvolio","what",442,0,0,0,0,0,0,0,0
"Benvolio","you",443,0,0,0,0,0,0,0,0
"Benvolio","do.",444,0,0,0,0,0,0,0,0
"Tybalt","What,",445,0,0,0,0,0,0,0,0
"Tybalt","art",446,0,0,0,0,0,0,0,0
"Tybalt","thou",447,0,0,0,0,0,0,0,0
"Tybalt","drawn",448,0,0,0,0,0,0,0,0
"Tybalt","among",449,0,0,0,0,0,0,0,0
"Tybalt","these",450,0,0,0,0,0,0,0,0
"Tybalt","heartless",451,0,0,0,0,0,0,0,0
"Tybalt","hinds?",452,0,0,0,0,0,0,0,0
"Tybalt","Turn",453,0,0,0,0,0,0,0,0
"Tybalt","thee,",454,0,0,0,0,0,0,0,0
"Tybalt","Benvolio,",455,0,0,0,0,0,0,0,0
"Tybalt","look",456,0,0,0,0,0,0,0,0
"Tybalt","upon",457,0,0,0,0,0,0,0,0
"Tybalt","thy",458,0,0,0,0,0,0,0,0
"Tybalt","death.",459,0,0,0,0,0,0,0,0
"Benvolio","I",460,0,0,0,0,0,0,0,0
"Benvolio","do",461,0,0,0,0,0,0,0,0
"Benvolio","but",462,0,0,0,0,0,0,0,0
"Benvolio","keep",463,0,0,0,0,0,0,0,0
"Benvolio","the",464,0,0,0,0,0,0,0,0
"Benvolio","peace.",465,0,0,0,0,0,0,0,0
"Benvolio","put",466,0,0,0,0,0,0,0,0
"Benvolio","up",467,0,0,0,0,0,0,0,0
"Benvolio","thy",468,0,0,0,0,0,0,0,0
"Benvolio","sword,",469,0,0,0,0,0,0,0,0
"Benvolio","Or",470,0,0,0,0,0,0,0,0
"Benvolio","manage",471,0,0,0,0,0,0,0,0
"Benvolio","it",472,0,0,0,0,0,0,0,0
"Benvolio","to",473,0,0,0,0,0,0,0,0
"Benvolio","part",474,0,0,0,0,0,0,0,0
"Benvolio","these",475,0,0,0,0,0,0,0,0
"Benvolio","men",476,0,0,0,0,0,0,0,0
"Benvolio","with",477,0,0,0,0,0,0,0,0
"Benvolio","me.",478,0,0,0,0,0,0,0,0
"Tybalt","What,",479,0,0,0,0,0,0,0,0
"Tybalt","drawn,",480,0,0,0,0,0,0,0,0
"Tybalt","and",481,0,0,0,0,0,0,0,0
"Tybalt","talk",482,0,0,0,0,0,0,0,0
"Tybalt","of",483,0,0,0,0,0,0,0,0
"Tybalt","peace!",484,0,0,0,0,0,0,0,0
"Tybalt","I",485,0,0,0,0,0,0,0,0
"Tybalt","hate",486,0,0,0,0,0,0,0,0
"Tybalt","the",487,0,0,0,0,0,0,0,0
"Tybalt","word,",488,0,0,0,0,0,0,0,0
"Tybalt","As",489,0,0,0,0,0,0,0,0
"Tybalt","I",490,0,0,0,0,0,0,0,0
"Tybalt","hate",491,0,0,0,0,0,0,0,0
"Tybalt","hell,",492,0,0,0,0,0,0,0,0
"Tybalt","all",493,0,0,0,0,0,0,0,0
"Tybalt","Montagues,",494,0,0,0,0,0,0,0,0
"Tybalt","and",495,0,0,0,0,0,0,0,0
"Tybalt","thee.",496,0,0,0,0,0,0,0,0
"Tybalt","Have",497,0,0,0,0,0,0,0,0
"Tybalt","at",498,0,0,0,0,0,0,0,0
"Tybalt","thee,",499,0,0,0,0,0,0,0,0
"Tybalt","coward!",500,0,0,0,0,0,0,0,0
"First Citizen","Clubs,",501,0,0,0,0,0,0,0,0
"First Citizen","bills,",502,0,0,0,0,0,0,0,0
"First Citizen","and",503,0,0,0,0,0,0,0,0
"First Citizen","partisans!",504,0,0,0,0,0,0,0,0
"First Citizen","strike!",505,0,0,0,0,0,0,0,0
"First Citizen","beat",506,0,0,0,0,0,0,0,0
"First Citizen","them",507,0,0,0,0,0,0,0,0
"First Citizen","down!",508,0,0,0,0,0,0,0,0
"First Citizen","Down",509,0,0,0,0,0,0,0,0
"First Citizen","with",510,0,0,0,0,0,0,0,0
"First Citizen","the",511,0,0,0,0,0,0,0,0
"First Citizen","Capulets!",512,0,0,0,0,0,0,0,0
